statefips,year,ajd_total,jdd_total,ajd_female,ajd_male,jdd_female,jdd_male,pop_total,pop_female,pop_male
49,1992,-8162,32379,-4146.917817592621,-3323.082166433334,13489.6854531765,15816.31303977966,1779780,894842,884938
50,1992,364,11847,-296.5435500964522,1126.54341661185,4779.27141481638,6345.728302955627,568606,290174,278432
51,1992,-8948,132459,-8883.199424810708,2447.200131565332,55351.91212230921,66101.08822536469,6301217,3211133,3090084
53,1992,-31998,91022,-15481.94075894356,-14137.05816340446,39406.60248613358,46937.39930295944,5025624,2531995,2493629
54,1992,-5912,22756,-2035.320116043091,-3265.679869160056,8548.786804199219,10563.21319723129,1798735,933422,865313
55,1992,1111,90553,-1046.09677362442,5636.096916794777,40598.65042829514,45337.34907960892,4964343,2533060,2431283
56,1992,-781,7077,-198.5808740854263,-57.41911292076111,2796.472246646881,3545.527888774872,459260,229070,230190
72,1992,0,0,0,0,0,0,0,0,0
,1992,0,0,0,0,0,0,0,0,0
1,1993,-3205,68633,934.6635287702084,728.3367216587067,30290.01919555664,32797.98131084442,4154014,2160659,1993355
2,1993,-857,8994,-302.9468309879303,-393.0531290173531,3651.457355618477,3720.542816638947,588736,278842,309894
4,1993,-12046,81463,-4940.788077354431,-1056.211606502533,34235.79146957397,42705.21387481689,3915740,1978503,1937237
5,1993,-5211,35618,-2038.830877959728,-1030.169165059924,14664.82164934278,16134.1789624691,2415984,1248781,1167203
6,1993,159916,816909,52936.46235591173,100675.5433821678,339866.0988826752,436682.9027724266,30974659,15475759,15498900
8,1993,-10250,83713,-6008.934217214584,-992.0658246278763,24920.09881305695,30518.90182733536,3495939,1756878,1739061
9,1993,4896,67617,-1287.939807891846,5697.939498901367,28309.21868896484,35340.7805480957,3300712,1702805,1597907
10,1993,-2668,18248,-1644.355445861816,-1536.64453125,8273.649536132813,8471.3515625,694925,357441,337484
11,1993,-19215,16679,-13899.70703125,-5842.29296875,7905.43359375,7889.56494140625,597565,317629,279936
12,1993,3936,356706,-5584.796200305223,6442.794939756393,152434.7161879539,184522.2859101295,13650553,7025305,6625248
